country,codeiso,yearstart,yearend,sex,maritialstatus,agegroup,agestart,ageend,datavalue
Botswana,72,1971,1971,Men,Currently married,[10-14],10,14,0
Botswana,72,1971,1971,Men,Currently married,[15-19],15,19,0.8
Botswana,72,1971,1971,Men,Currently married,[20-24],20,24,8.3
Botswana,72,1971,1971,Men,Currently married,[25-29],25,29,33.9
Botswana,72,1971,1971,Men,Currently married,[30-34],30,34,58.4
Botswana,72,1971,1971,Men,Currently married,[35-39],35,39,69.5
Botswana,72,1971,1971,Men,Currently married,[40-44],40,44,76.8
Botswana,72,1971,1971,Men,Currently married,[45-49],45,49,79.2
Botswana,72,1971,1971,Men,Currently married,[50-54],50,54,80.8
Botswana,72,1971,1971,Men,Currently married,[55-59],55,59,81.2
Botswana,72,1971,1971,Men,Currently married,[60-64],60,64,80.4
Botswana,72,1971,1971,Men,Currently married,[65-69],65,69,81.6
Botswana,72,1971,1971,Men,Currently married,[70-74],70,74,78
Botswana,72,1971,1971,Men,Currently married,[75+],75,999,74.1
Botswana,72,1971,1971,Women,Currently married,[10-14],10,14,0
Botswana,72,1971,1971,Women,Currently married,[15-19],15,19,8.4
Botswana,72,1971,1971,Women,Currently married,[20-24],20,24,38.1
Botswana,72,1971,1971,Women,Currently married,[25-29],25,29,56
Botswana,72,1971,1971,Women,Currently married,[30-34],30,34,62.8
Botswana,72,1971,1971,Women,Currently married,[35-39],35,39,66.7
Botswana,72,1971,1971,Women,Currently married,[40-44],40,44,65.6
Botswana,72,1971,1971,Women,Currently married,[45-49],45,49,64.5
Botswana,72,1971,1971,Women,Currently married,[50-54],50,54,59.6
Botswana,72,1971,1971,Women,Currently married,[55-59],55,59,54.9
Botswana,72,1971,1971,Women,Currently married,[60-64],60,64,45.3
Botswana,72,1971,1971,Women,Currently married,[65-69],65,69,37.3
Botswana,72,1971,1971,Women,Currently married,[70-74],70,74,28.4
Botswana,72,1971,1971,Women,Currently married,[75+],75,999,17.9
Botswana,72,1981,1981,Men,Currently married,[10-14],10,14,0.2
Botswana,72,1981,1981,Men,Currently married,[15-19],15,19,0.9
Botswana,72,1981,1981,Men,Currently married,[20-24],20,24,6.4
Botswana,72,1981,1981,Men,Currently married,[25-29],25,29,29.9
Botswana,72,1981,1981,Men,Currently married,[30-34],30,34,55.3
Botswana,72,1981,1981,Men,Currently married,[35-39],35,39,69
Botswana,72,1981,1981,Men,Currently married,[40-44],40,44,76
Botswana,72,1981,1981,Men,Currently married,[45-49],45,49,80
Botswana,72,1981,1981,Men,Currently married,[50-54],50,54,81.2
Botswana,72,1981,1981,Men,Currently married,[55-59],55,59,81.8
Botswana,72,1981,1981,Men,Currently married,[60-64],60,64,82.1
Botswana,72,1981,1981,Men,Currently married,[65+],65,999,78.3
Botswana,72,1981,1981,Women,Currently married,[10-14],10,14,0.2
Botswana,72,1981,1981,Women,Currently married,[15-19],15,19,7
Botswana,72,1981,1981,Women,Currently married,[20-24],20,24,29.8
Botswana,72,1981,1981,Women,Currently married,[25-29],25,29,49.7
Botswana,72,1981,1981,Women,Currently married,[30-34],30,34,61.4
Botswana,72,1981,1981,Women,Currently married,[35-39],35,39,65.2
Botswana,72,1981,1981,Women,Currently married,[40-44],40,44,65.7
Botswana,72,1981,1981,Women,Currently married,[45-49],45,49,64
Botswana,72,1981,1981,Women,Currently married,[50-54],50,54,59.8
Botswana,72,1981,1981,Women,Currently married,[55-59],55,59,55.5
Botswana,72,1981,1981,Women,Currently married,[60-64],60,64,47.7
Botswana,72,1981,1981,Women,Currently married,[65+],65,999,28.7
Botswana,72,1988,1988,Women,Currently married,[15-19],15,19,5.8
Botswana,72,1988,1988,Women,Currently married,[20-24],20,24,25.7
Botswana,72,1988,1988,Women,Currently married,[25-29],25,29,49.7
Botswana,72,1988,1988,Women,Currently married,[30-34],30,34,58.4
Botswana,72,1988,1988,Women,Currently married,[35-39],35,39,62.6
Botswana,72,1988,1988,Women,Currently married,[40-44],40,44,62.8
Botswana,72,1988,1988,Women,Currently married,[45-49],45,49,56.1
Botswana,72,1991,1991,Men,Currently married,[10-14],10,14,1.3
Botswana,72,1991,1991,Men,Currently married,[15-19],15,19,2.2
Botswana,72,1991,1991,Men,Currently married,[20-24],20,24,8.8
Botswana,72,1991,1991,Men,Currently married,[25-29],25,29,28.6
Botswana,72,1991,1991,Men,Currently married,[30-34],30,34,52.1
Botswana,72,1991,1991,Men,Currently married,[35-39],35,39,67.9
Botswana,72,1991,1991,Men,Currently married,[40-44],40,44,75.5
Botswana,72,1991,1991,Men,Currently married,[45-49],45,49,79.3
Botswana,72,1991,1991,Men,Currently married,[50-54],50,54,80.9
Botswana,72,1991,1991,Men,Currently married,[55-59],55,59,82.2
Botswana,72,1991,1991,Men,Currently married,[60-64],60,64,82.1
Botswana,72,1991,1991,Men,Currently married,[65+],65,999,75.3
Botswana,72,1991,1991,Women,Currently married,[10-14],10,14,1.1
Botswana,72,1991,1991,Women,Currently married,[15-19],15,19,5.1
Botswana,72,1991,1991,Women,Currently married,[20-24],20,24,26.4
Botswana,72,1991,1991,Women,Currently married,[25-29],25,29,45.9
Botswana,72,1991,1991,Women,Currently married,[30-34],30,34,57.4
Botswana,72,1991,1991,Women,Currently married,[35-39],35,39,61.9
Botswana,72,1991,1991,Women,Currently married,[40-44],40,44,64
Botswana,72,1991,1991,Women,Currently married,[45-49],45,49,62.9
Botswana,72,1991,1991,Women,Currently married,[50-54],50,54,59.9
Botswana,72,1991,1991,Women,Currently married,[55-59],55,59,55.5
Botswana,72,1991,1991,Women,Currently married,[60-64],60,64,48.4
Botswana,72,1991,1991,Women,Currently married,[65+],65,999,32.8
Botswana,72,1996,1996,Women,Currently married,[15-19],15,19,5.5
Botswana,72,1996,1996,Women,Currently married,[20-24],20,24,24.9
Botswana,72,1996,1996,Women,Currently married,[25-29],25,29,46.9
Botswana,72,1996,1996,Women,Currently married,[30-34],30,34,57
Botswana,72,1996,1996,Women,Currently married,[35-39],35,39,59.5
Botswana,72,1996,1996,Women,Currently married,[40-44],40,44,61.8
Botswana,72,1996,1996,Women,Currently married,[45-49],45,49,55.4
Botswana,72,1998,1998,Men,Currently married,[10-14],10,14,0.1
Botswana,72,1998,1998,Men,Currently married,[15-19],15,19,0.2
Botswana,72,1998,1998,Men,Currently married,[20-24],20,24,0.6
Botswana,72,1998,1998,Men,Currently married,[25-29],25,29,4.9
Botswana,72,1998,1998,Men,Currently married,[30-34],30,34,17.4
Botswana,72,1998,1998,Men,Currently married,[35-39],35,39,35.3
Botswana,72,1998,1998,Men,Currently married,[40-44],40,44,46.7
Botswana,72,1998,1998,Men,Currently married,[45-49],45,49,55.3
Botswana,72,1998,1998,Men,Currently married,[50-54],50,54,63.7
Botswana,72,1998,1998,Men,Currently married,[55-59],55,59,68
Botswana,72,1998,1998,Men,Currently married,[60-64],60,64,73.8
Botswana,72,1998,1998,Men,Currently married,[65-69],65,69,68.4
Botswana,72,1998,1998,Men,Currently married,[70-74],70,74,62.3
Botswana,72,1998,1998,Men,Currently married,[75+],75,999,62.5
Botswana,72,1998,1998,Women,Currently married,[10-14],10,14,0.1
Botswana,72,1998,1998,Women,Currently married,[15-19],15,19,0.3
Botswana,72,1998,1998,Women,Currently married,[20-24],20,24,4
Botswana,72,1998,1998,Women,Currently married,[25-29],25,29,15.3
Botswana,72,1998,1998,Women,Currently married,[30-34],30,34,29.4
Botswana,72,1998,1998,Women,Currently married,[35-39],35,39,41.6
Botswana,72,1998,1998,Women,Currently married,[40-44],40,44,46.3
Botswana,72,1998,1998,Women,Currently married,[45-49],45,49,46.5
Botswana,72,1998,1998,Women,Currently married,[50-54],50,54,49.8
Botswana,72,1998,1998,Women,Currently married,[55-59],55,59,45.5
Botswana,72,1998,1998,Women,Currently married,[60-64],60,64,41.6
Botswana,72,1998,1998,Women,Currently married,[65-69],65,69,32.8
Botswana,72,1998,1998,Women,Currently married,[70-74],70,74,23.9
Botswana,72,1998,1998,Women,Currently married,[75+],75,999,11.5
Botswana,72,2001,2001,Men,Currently married,[10-14],10,14,0.3
Botswana,72,2001,2001,Men,Currently married,[15-19],15,19,1.2
Botswana,72,2001,2001,Men,Currently married,[20-24],20,24,10.6
Botswana,72,2001,2001,Men,Currently married,[25-29],25,29,30.7
Botswana,72,2001,2001,Men,Currently married,[30-34],30,34,50.8
Botswana,72,2001,2001,Men,Currently married,[35-39],35,39,63.3
Botswana,72,2001,2001,Men,Currently married,[40-44],40,44,71.5
Botswana,72,2001,2001,Men,Currently married,[45-49],45,49,75.8
Botswana,72,2001,2001,Men,Currently married,[50-54],50,54,77.8
Botswana,72,2001,2001,Men,Currently married,[55-59],55,59,79.3
Botswana,72,2001,2001,Men,Currently married,[60-64],60,64,79.7
Botswana,72,2001,2001,Men,Currently married,[65-69],65,69,78.6
Botswana,72,2001,2001,Men,Currently married,[70-74],70,74,77.6
Botswana,72,2001,2001,Men,Currently married,[75+],75,999,73.1
Botswana,72,2001,2001,Women,Currently married,[10-14],10,14,0.3
Botswana,72,2001,2001,Women,Currently married,[15-19],15,19,5.3
Botswana,72,2001,2001,Women,Currently married,[20-24],20,24,28.4
Botswana,72,2001,2001,Women,Currently married,[25-29],25,29,45.9
Botswana,72,2001,2001,Women,Currently married,[30-34],30,34,56.4
Botswana,72,2001,2001,Women,Currently married,[35-39],35,39,60.5
Botswana,72,2001,2001,Women,Currently married,[40-44],40,44,60.8
Botswana,72,2001,2001,Women,Currently married,[45-49],45,49,59.8
Botswana,72,2001,2001,Women,Currently married,[50-54],50,54,59.2
Botswana,72,2001,2001,Women,Currently married,[55-59],55,59,55.2
Botswana,72,2001,2001,Women,Currently married,[60-64],60,64,50.6
Botswana,72,2001,2001,Women,Currently married,[65-69],65,69,45.7
Botswana,72,2001,2001,Women,Currently married,[70-74],70,74,37.7
Botswana,72,2001,2001,Women,Currently married,[75+],75,999,27.7
Botswana,72,2011,2011,Men,Currently married,[10-14],10,14,1.6
Botswana,72,2011,2011,Men,Currently married,[15-19],15,19,3.2
Botswana,72,2011,2011,Men,Currently married,[20-24],20,24,14.8
Botswana,72,2011,2011,Men,Currently married,[25-29],25,29,34.9
Botswana,72,2011,2011,Men,Currently married,[30-34],30,34,51.4
Botswana,72,2011,2011,Men,Currently married,[35-39],35,39,61.5
Botswana,72,2011,2011,Men,Currently married,[40-44],40,44,67.9
Botswana,72,2011,2011,Men,Currently married,[45-49],45,49,71.4
Botswana,72,2011,2011,Men,Currently married,[50-54],50,54,73.9
Botswana,72,2011,2011,Men,Currently married,[55-59],55,59,75.8
Botswana,72,2011,2011,Men,Currently married,[60-64],60,64,76.2
Botswana,72,2011,2011,Men,Currently married,[65-69],65,69,75.4
Botswana,72,2011,2011,Men,Currently married,[70-74],70,74,74.4
Botswana,72,2011,2011,Men,Currently married,[75+],75,999,65.6
Botswana,72,2011,2011,Women,Currently married,[10-14],10,14,1.2
Botswana,72,2011,2011,Women,Currently married,[15-19],15,19,7.1
Botswana,72,2011,2011,Women,Currently married,[20-24],20,24,32.4
Botswana,72,2011,2011,Women,Currently married,[25-29],25,29,49
Botswana,72,2011,2011,Women,Currently married,[30-34],30,34,56
Botswana,72,2011,2011,Women,Currently married,[35-39],35,39,58.7
Botswana,72,2011,2011,Women,Currently married,[40-44],40,44,58.3
Botswana,72,2011,2011,Women,Currently married,[45-49],45,49,56.5
Botswana,72,2011,2011,Women,Currently married,[50-54],50,54,52.5
Botswana,72,2011,2011,Women,Currently married,[55-59],55,59,49.6
Botswana,72,2011,2011,Women,Currently married,[60-64],60,64,45.5
Botswana,72,2011,2011,Women,Currently married,[65-69],65,69,40.9
Botswana,72,2011,2011,Women,Currently married,[70-74],70,74,35.3
Botswana,72,2011,2011,Women,Currently married,[75+],75,999,25.1
Botswana,72,2017,2017,Women,Currently married,[15-19],15,19,12.8
Botswana,72,2017,2017,Women,Currently married,[20-24],20,24,32
Botswana,72,2017,2017,Women,Currently married,[25-29],25,29,50.2
Botswana,72,2017,2017,Women,Currently married,[30-34],30,34,59.9
Botswana,72,2017,2017,Women,Currently married,[35-39],35,39,64.4
Botswana,72,2017,2017,Women,Currently married,[40-44],40,44,63.1
Botswana,72,2017,2017,Women,Currently married,[45-49],45,49,58